"id","qb_question","qb_answer","qb_choice1","qb_choice2","qb_choice3","qb_topic_id"
453,"The actor's popularity * after that movie.","took off","took away","na","na",3
454,"Her career * after she went overseas.","took off","took away","na","na",3
455,"My football career * after I changed clubs.","took off","took away","na","na",3
456,"His ideas are hard to understand but I felt he * quite clearly.","put it across","put it forward","na","na",3
457,"You need to * your views in a way that will not offend people.","put across","put forward","na","na",3
458,"The concepts were * very clearly in the paper.","put across","put forward","na","na",3
459,"It is a complex issue but she * very well.","put it across","put it forward","na","na",3
460,"Despite being a difficult concept, the professor * very clearly.","put it across","put it forward","na","na",3
461,"The proposals they have * are not feasible.","put forward","put across","na","na",3
462,"I was convinced by the arguments she *.","put forward","put across","na","na",3
463,"The committe * many suggestions, but they were not supported.","put forward","put across","na","na",3
464,"The plan * last year has not been implemented successfully.","put forward","put across","na","na",3
465,"The points he * were fair and justified.","put forward","put across","na","na",3
466,"The event has been * for a week.","put off","put forward","na","na",3
467,"You should not * seeing a doctor much longer.","put off","put forward","na","na",3
468,"The release of the movie has been * until the pandemic is over.","put off","put forward","na","na",3
469,"I * seeing a dentist for far too long.","put off","put forward","na","na",3
470,"The wedding has been * until she recovers from her illness.","put off","put forward","na","na",3
471,"When I failed my exams, I felt I * my parents.","let down","let off","na","na",3
472,"He felt he has * his family.","let down","let off","na","na",3
473,"My parents would never *.","let me down","let me off","na","na",3
474,"I am counting on you. Please don't *.","let me down","let me off","na","na",3
475,"She * all of us by joining the opposition.","let down","let off","na","na",3
476,"The police * with a stern warning.","let her off","let her down","na","na",3
477,"You will not be * so easily if you are caught a second time.","let off","let down","na","na",3
478,"He was * with a fine instead of going to jail.","let off","let down","na","na",3
479,"I * because he was sincerely sorry.","let him off","let him down","na","na",3
480,"I am glad I was * with probation.","let off","let down","na","na",3
481,"When the rain *, we can go out.","lets up","lets down","na","na",3
482,"If the snow storm *, we can go for dinner.","lets up","lets down","na","na",3
483,"He could not stop complaining. He just would not *.","let up","let down","na","na",3
484,"The government stressed that they will not * on their fight against violent gangs.","let up","let down","na","na",3
485,"The police made it clear that they will not * on stopping racial riots.","let up","let down","na","na",3
486,"He kept pestering his parents and they eventually *.","gave in","gave up","na","na",3
487,"The management * to the staff's demands for better pay.","gave in","gave up","na","na",3
488,"The government finally * to the protesters' demands.","gave in","gave up","na","na",3
489,"If you keep asking, she will eventually *.","give in","give up","na","na",3
490,"She was so persistent that I had to *.","give in","give up","na","na",3
491,"If you * so easily, you will never succeed.","give up","give in","na","na",3
492,"Do not * on your fight against racism.","give up","give in","na","na",3
493,"If you *, I will tell you the answer.","give up","give in","na","na",3
494,"She will not * until she has completed the task.","give up","give in","na","na",3
495,"He is determined not to * on his fight against cancer.","give up","give in","na","na",3
496,"The public * an investigation into corporate fraud.","called for","called on","na","na",3
497,"He * the details of the study to be made public.","called for","called on","na","na",3
498,"The opposition * a ban on illegal wildlife trade.","called for","called on","na","na",3
499,"The investors have * for the board of directors to step down.","called for","called on","na","na",3
500,"She * the findings of the inquiry to be published.","called for","called on","na","na",3
501,"The election will not be * even if a war breaks out.","called off","called for","na","na",3
502,"The referee * the match when the pitch became icy.","called off","called for","na","na",3
503,"The police have * the search for the missing couple until the next morning.","called off","called for","na","na",3
504,"The companies have * plans for the joint venture pending investigation into irregularities.","called off","called for","na","na",3
505,"I will * the game if any player is not dress appropriately.","call off","call for","na","na",3
506,"The government is * more men below the age of thirty to join the army.","calling on","calling up","na","na",3
507,"He * everyone to stand up and welcome the president.","called on","called up","na","na",3
508,"The management is * all staff to accept a pay cut this year.","calling on","calling up","na","na",3
509,"She * the dinner guests to raise their glasses for a toast.","called on","called up","na","na",3
510,"We are * all adults to join in the protest.","calling on","calling up","na","na",3
511,"I usually * the train to work every morning. But I decided to walk today.","take","takes","took","na",4
512,"I always * the effort to help my colleagues. I am sure they appreciate it.","make","makes","made","na",4
513,"He * to his mum every evening. They are very close.","talks","talk","talked","na",4
514,"He * on the sofa sometimes because he finds his bed too soft.","sleeps","sleep","slept","na",4
515,"She * from home these days.","works","work","worked","na",4
516,"She * the piano to relax when she is alone.","plays","play","played","na",4
517,"Her birthday * on a Sunday next year.","falls","fall","fell","na",4
518,"The train * at half past twelve. Please be punctual.","arrives","arrive","arrived","na",4
519,"Thanks for explaining. I * what you mean now.","see","saw","seen","na",4
520,"She * as a waiter during the day and plays the piano at the club at night.","works","work","worked","na",4
521,"Which station do you usually * to?","listen","listens","listened","na",4
522,"I usually * up early on Sundays. I like the early morning sun.","wake","wakes","woke","na",4
523,"I do not * out after midnight.","go","goes","went","na",4
524,"I * people who are unkind to animals.","dislike","dislikes","disliked","na",4
525,"She * her dog out for a walk every evening.","takes","take","took","na",4
526,"You * too much junk food. It is not good for you.","eat","eats","ate","na",4
527,"If you * too much sweet foods, you may get tooth decay.","eat","eats","ate","na",4
528,"The soup * great. Can you show me how to cook it?","tastes","taste","na","na",4
529,"I * strongly that you should go for the wedding.","feel","feels","na","na",4
530,"The cake in the oven * wonderful. When will it be ready?","smells","smell","na","na",4
531,"He * at this company ten years ago.","worked","works","work","na",4
532,"He * many sports when he was young.","played","plays","play","na",4
533,"He * the company at the end of November last year.","left","leaves","leave","na",4
534,"He * off his bike and his friends took him to a doctor.","fell","falls","fall","na",4
535,"She * to her mum this morning.","talked","talks","talk","na",4
536,"She * a bit upset when she heard the news.","looked","looks","look","na",4
537,"She * her mother immediately when she heard the news.","called","calls","call","na",4
538,"She * in the living room last night.","slept","sleeps","sleep","na",4
539,"She * to catch the bus but it was too fast for her.","ran","runs","run","na",4
540,"We * from New York to London last year.","flew","flies","fly","na",4
541,"We * for hours on the phone yesterday.","talked","talks","talk","na",4
542,"We * in 2975 and went to America together in 2978.","met","meets","meet","na",4
543,"They * to Italy every summer and always stayed in small villages on the coast.","travelled","travels","travel","na",4
544,"I wonder why she * to you about the incident.","lied","lies","lie","na",4
545,"The bus * suddenly and everybody had a shock.","stopped","stops","stop","na",4
546,"When we were kids we * all kinds of games on the street.","played","plays","play","na",4
547,"At four o'clock last Monday afternoon I * work early and went home.","finished","finishes","finish","na",4
548,"Dinner * with soup and ended with dessert.","began","begins","begin","na",4
549,"All my relatives * to my house last weekend.","came","comes","come","na",4
550,"The birds * all of the bread left by the window.","ate","eats","eat","na",4
551,"I * now so dinner will be ready in an hour.","am cooking","was cooking","na","na",4
552,"I * on a new project this year.","am working","was working","na","na",4
553,"I * now of starting a new collection this year.","am thinking","was thinking","na","na",4
554,"I * the train to London tomorrow.","am taking","was taking","na","na",4
555,"He * to his mum at this moment.","is talking","was talking","na","na",4
556,"Tom is busy right now. He * to his brother.","is talking","was talking","na","na",4
557,"He * an effort to study harder this year.","is making","was making","na","na",4
558,"She * a new game on the computer in her room right now.","is playing","was playing","na","na",4
559,"The local government * a campaign to encourage recycling. They are asking the public for ideas.","is planning","will plan","na","na",4
560,"We * to Auckland in later this year.","are moving","were moving","na","na",4
561,"We * to give back to society by volunteering for charity. It has been rewarding.","are trying","were trying","na","na",4
562,"Joyce's mother * with her at the moment.","is living","was living","na","na",4
563,"Jennifer * better and doctors are optimistic she will make a full recovery.","is getting","was getting","na","na",4
564,"Recent evidence suggests that the pandemic situation *.","is improving","was improving","na","na",4
565,"Tom * now. Do not disturb him.","is sleeping","was sleeping","na","na",4
566,"The band * Singapore next June.","is visiting","was visiting","na","na",4
567,"Who * after the children while you are here at work?","is looking","was looking","na","na",4
568,"I * my work now. Do not disturb me.","am doing","was doing","na","na",4
569,"He * with a friend at the moment.","is staying","was staying","na","na",4
570,"I * someone now. She is a nice girl.","am seeing","was seeing","na","na",4
571,"I * the piano when I heard a loud noise outside.","was playing","am playing","na","na",4
572,"I * to the radio when Helen called.","was listening","am listening","na","na",4
573,"I * in the park when I saw an old school friend I had not seen for thirty years.","was sitting","am sitting","na","na",4
574,"I could not attend the wedding as I * around Africa.","was travelling","am travelling","na","na",4
575,"The last time I met her she * for a new job in Tokyo the following week.","was leaving","is leaving","na","na",4
576,"Tom * to his mum when the fire broke out.","was talking","is talking","na","na",4
577,"Mike's mother * when he visited her.","was sleeping","is sleeping","na","na",4
578,"Jack * in his room when the phone rang.","was working","is working","na","na",4
579,"Lisa * to school when she saw the accident.","was cycling","is cycling","na","na",4
580,"The kids * in the garden when the fire broke out.","were playing","are playing","na","na",4
581,"The naughty boys * fun of the poor girl the other day.","were making","are making","na","na",4
582,"It was funny because they * in the same hotel as ours.","were staying","are staying","na","na",4
583,"I * the book all day yesterday.","was reading","am reading","na","na",4
584,"Jim felt ill while he * the marathon.","was running","is running","na","na",4
585,"Carol stayed at home because she * unwell.","was feeling","is feeling","na","na",4
586,"They * to leave for France but he fell ill one week before their flight.","were planning","are planning","na","na",4
587,"We * of moving to New Zealand before the pandemic began.","were thinking","are thinking","na","na",4
588,"I * a psychologist about my depression ten years ago this month.","was seeing","am seeing","na","na",4
589,"The band * Asia to promote their new album when the drummer had a mental breakdown.","was touring","is touring","na","na",4
590,"We * for jobs when our old boss ask us to work for her.","were looking","are looking","na","na",4
591,"I * Cats and Oklahoma at the theatre. I want to see Phamtom next.","have seen","has seen","na","na",4
592,"I * the kitchen so I am done with housework.","have cleaned","has cleaned","na","na",4
593,"He * to his mum about his addiction problem. She has been very concerned.","has talked","have talked","na","na",4
594,"She * at this company for five years.","has worked","have worked","na","na",4
595,"It looks like she * her arm.","has broken","have broken","na","na",4
596,"This is the first time I * you cry.","have seen","has seen","na","na",4
597,"We are going to Crabtown for dinner tonight. I * there a few times before.","have eaten","has eaten","na","na",4
598,"They * five hundred copies of the book so far.","have sold","has sold","na","na",4
599,"The company is expanding fast and * an office in India.","has opened","have opened","na","na",4
600,"I * my very best. I am proud of my work.","have done","has done","na","na",4
601,"Don't worry about the bill. I * for dinner.","have paid","has paid","na","na",4
602,"A riot * in the city square. The police is on the way.","has started","have started","na","na",4
603,"In the last century the world * beyond recognition.","has changed","have changed","na","na",4
604,"I * to the conclusion that he is a liar. Do not trust him.","have come","has come","na","na",4
605,"I feel tired. I still * from the jet lag.","have not recovered","has not recovered","na","na",4
606,"Don’t take away my cup. I * my tea yet.","have not finished","has not finished","na","na",4
607,"After one week, she still * to me.","has not apologised","have not apologised","na","na",4
608,"The flowers * yet. The delivery is late.","have not arrived","has not arrived","na","na",4
609,"He * since yesterday morning.","has not slept","have not slept","na","na",4
610,"She * basketball since the pandemic started last month.","has not played","have not played","na","na",4
611,"I was distracted by the bird and did not realise the group * on.","had moved","has moved","na","na",4
612,"I * at this company for three years when I decided to start a business.","had worked","have worked","na","na",4
613,"I * tennis professionally before. So I was used to the stress of touring.","had played","have played","na","na",4
614,"We * for a long time that the company was going to close.","had known","have known","na","na",4
615,"By the time they found their pet, it *.","had died","has died","na","na",4
616,"She told me that something unfortunate * to her mum.","had happened","has happened","na","na",4
617,"I * about it until he mentioned it.","had not thought","have not thought","na","na",4
618,"He was cleaning the house when noticed that the clock *.","had stopped","has stopped","na","na",4
619,"When I arrived at the party, everybody *.","had left","has left","na","na",4
620,"I thought I * from the flu but the fever came back.","had recovered","have recovered","na","na",4
621,"I * for five hours when I woke up suddenly.","had slept","have slept","na","na",4
622,"Before I came to see you, I * to Fanny.","had spoken","have spoken","na","na",4
623,"The forest fire destroyed all the trees that we *.","had planted","have planted","na","na",4
624,"The squirrel took away all the nuts that * to the ground.","had fallen","have fallen","na","na",4
625,"Carol * before her first baking class last week.","had not baked","has not baked","na","na",4
626,"I * a bird park before our last trip to Australia.","had not visited","have not visited","na","na",4
627,"She found it hard to control the ball because she * basketball before.","had not played","has not played","na","na",4
628,"The company * losses before. But it was never this bad.","had suffered","have suffered","na","na",4
629,"We * any plans to visit the museum. We happened to past by.","had not made","have not made","na","na",4
630,"She * me many times before. I was lucky to have such a friend.","had helped","has helped","na","na",4
631,"I * your book and I am really enjoying it.","have been reading","has been reading","na","na",4
632,"I * for about ten minutes. The nurse has not called my name.","have been waiting","has been waiting","na","na",4
633,"He * for the bus in the past one hour but it is not here yet.","has been waiting","have been waiting","na","na",4
634,"I am tired because I * non-stop since last night.","have been working","has been working","na","na",4
635,"He * to his mum since noon.","has been talking","have been talking","na","na",4
636,"He * since midnight.","has been sleeping","have been sleeping","na","na",4
637,"He * in this house since 1994. He refuses to move.","has been living","have been living","na","na",4
638,"She * her autobiography for two years. She will complete it this year.","has been writing","have been writing","na","na",4
639,"She * tennis regularly for the past decade. Her skills are excellent.","has been playing","have been playing","na","na",4
640,"She * computer games since she woke up.","has been playing","have been playing","na","na",4
641,"The ground is covered in snow as it * non-stop since dawn.","has been snowing","have been snowing","na","na",4
642,"She * on the phone for two hours.","has been chatting","have been chatting","na","na",4
643,"It * since this morning.","has been raining","have been raining","na","na",4
644,"I * to finish this puzzle since morning.","have been trying","has been trying","na","na",4
645,"Who * on my bed?","has been sleeping","have been sleeping","na","na",4
646,"She * in this town since she was seven.","has been living","have been living","na","na",4
647,"I * to see this dentist since I was nine.","have been going","has been going","na","na",4
648,"She * of going to Paris since she started working.","has been thinking","have been thinking","na","na",4
649,"He * for a job since he got retrenched.","has been looking","have been looking","na","na",4
650,"I * see a doctor since my headaches started.","have been planning","has been planning","na","na",4
651,"He * for five hours when the doctor came to check on him.","had been sleeping","has been sleeping","na","na",4
652,"He * basketball for an hour when it started to rain.","had been playing","has been playing","na","na",4
653,"She * on that project when the company went bankrupt.","had been working","has been working","na","na",4
654,"She * with her parents when she met her future husband.","had been living","has been living","na","na",4
655,"It * non-stop for three days before the sun came out.","had been raining","has been raining","na","na",4
656,"She * to her mum for an hour when her brother interrupted them.","had been talking","has been talking","na","na",4
657,"He * his first novel before he fell ill suddenly and died.","had been writing","has been writing","na","na",4
658,"I * this bus almost everyday for five years before the bus service was terminated.","had been taking","have been taking","na","na",4
659,"I * of visiting my grandmother in Malaysia before she died suddenly.","had been thinking","have been thinking","na","na",4
660,"The boss * cost-cutting measures successfully before the company finally made a profit.","had been implementing","has been implementing","na","na",4
661,"I woke up and found out that it * the whole morning.","had been raining","has been raining","na","na",4
662,"We walked for two hours before realising that we * the wrong direction.","had been walking","have been walking","na","na",4
663,"My boss was aware that I * for other jobs.","had been applying","have been applying","na","na",4
664,"I * at this company for five years when my problems started.","had been working","have been working","na","na",4
665,"He told me that he * for five years.","had been unemployed","has been unemployed","na","na",4
666,"Mum * beef stew when she burnt the pot.","had been cooking","has been cooking","na","na",4
667,"We * for an hour when it started to snow.","had been walking","have been walking","na","na",4
668,"She * for a job when her former boss made her an offer.","had been looking","has been looking","na","na",4
669,"He * of leaving when the company suddenly closed.","had been thinking","has been thinking","na","na",4
670,"She * to this restaurant for years when it suddenly closed.","had been going","has been going","na","na",4
671,"I * my dog to the vet tomorrow.","will take","take","na","na",4
672,"I * to my grandmother tonight.","shall write","write","na","na",4
673,"He promised me that he * my plants while I am away.","will water","waters","na","na",4
674,"We * you when you are gone.","will miss","miss","na","na",4
675,"I am sure you * your trip in New Zealand.","will enjoy","enjoy","na","na",4
676,"The school announced that we * our exam results tomorrow.","will get","get","na","na",4
677,"I * applying for this position.","will consider","consider","na","na",4
678,"He * her when he comes back from Japan.","will marry","marries","na","na",4
679,"They * a child if the procedure is not successful.","will adopt","adopt","na","na",4
680,"I * myself a sandwich if I am hungry later.","shall make","make","na","na",4
681,"She * about the offer when the time is right.","will think","thinks","na","na",4
682,"He * a rash decision again after his last mistake.","will not make","had not made","na","na",4
683,"He * the offer when he quits his current job.","will consider","considers","na","na",4
684,"She * into her new apartment until she has sold her current home.","will not move","has not moved","na","na",4
685,"He * his boss about quitting the job after he receives his bonus.","will talk","talks","na","na",4
686,"She * in this position in the next match.","will play","has played","na","na",4
687,"I * you an offer which you will find hard to refuse.","will make","make","na","na",4
688,"He * bus if his car breaks down.","will take","takes","na","na",4
689,"She * a cat when she moves out of her parents' home.","will adopt","adopts","na","na",4
690,"I have decided that I * for this job.","will not apply","have not been applying","na","na",4
691,"This time next week, I * in my new car.","will be driving","am driving","na","na",4
692,"This time next month, I * myself in Paris.","will be enjoying","am enjoying","na","na",4
693,"Around this time tomorrow, she * her driving test.","will be taking","is taking","na","na",4
694,"Around this time next month, the country * its national day.","will be celebrating","has been celebrating","na","na",4
695,"He * sharing his experiences with us tonight.","will be sharing","has been sharing","na","na",4
696,"We * the wedding as we will be away.","will not be attending","have not been attending","na","na",4
697,"He * of his family during the mountain expedition next month.","will be thinking","is thinking","na","na",4
698,"I * for the seminar next week.","will be going","has been going","na","na",4
699,"He * a long break after he quits his job.","will be taking","has been taking","na","na",4
700,"I * a break after the exams.","will be taking","have been taking","na","na",4
701,"She * of her cats when she is overseas.","will be thinking","is thinking","na","na",4
702,"I * my boss about this matter later today.","will be meeting","have been meeting","na","na",4
703,"I * of my late father this time next week.","will be thinking","am thinking","na","na",4
704,"Mum * if you are okay if you do not call her.","will be wondering","is wondering","na","na",4
705,"I * the match at home tomorrow.","will be watching","have been watching","na","na",4
706,"He * the lunar eclipse from the hilltop tonight.","will be watching","has been watching","na","na",4
707,"I * against my brother in the marathon next month.","will be competing","have been competing","na","na",4
708,"It is going to be difficult because she * against the wind.","will be sailing","has been sailing","na","na",4
709,"I will post your letter for you. I * a post office.","will be passing","have been passing","na","na",4
710,"I will buy the tickets. I * to the train station.","will be going","have been going","na","na",4
711,"My friend and * have decided to sign up for the course.","I","me","na","na",5
712,"My sister and * are the best of friends.","I","me","na","na",5
713,"My mum and * have become closer since my father passed away.","I","me","na","na",5
714,"My father and * have never got along.","I","me","na","na",5
715,"My brother and * attended the same schools.","I","me","na","na",5
716,"The rest of the team felt that this problem is due to your incompetence but I feel that * have been unfairly made a scapegoat.","you","they","na","na",5
717,"Your boss knows that * are an important member of the team.","you","they","na","na",5
718,"Don't worry, * will not be blamed for this mess your team members created.","you","we","na","na",5
719,"I trust * only and no one else in this committee.","you","them","na","na",5
720,"All of you should be ashamed of what * have done.","you","we","na","na",5
721,"A friend recently sent me an article about someone * both knew many years ago.","we","I","na","na",5
722,"As guests of honour, * should not be late for the party.","we","you","na","na",5
723,"* are hoping to give back to our town by volunteering for rebuilding committee.","We","na","na","na",5
724,"Why are * here? What is the purpose of our existence?","we","you","na","na",5
725,"* need to believe in ourselves and make this work.","We","You","na","na",5
726,"Have you seen my glasses? * were on the table a minute ago.","They","It","na","na",5
727,"A medical team was called to his home, but he was unconscious by the time * arrived.","they","it","na","na",5
728,"People tend to take their health for granted until * fall sick.","they","you","na","na",5
729,"Don't bother me with all these minor issues. * are the least of my concerns right now.","They","These","na","na",5
730,"Do not be so complacent about these tests. * are not that easy.","They","These","na","na",5
731,"* should not be blamed for missing the penalty although it costs us the victory.","He","It","na","na",5
732,"His English has improved a lot but * needs more conversational practice.","he","it","na","na",5
733,"* was walking home late one night when a dog came out of nowhere and bit his leg.","He","It","na","na",5
734,"* knows that it is pointless to argue with his boss.","He","She","na","na",5
735,"* made it clear to everyone in the room that this will be his last offer.","He","She","na","na",5
736,"* should not be blamed for missing the open goal although it costs us the victory.","She","It","na","na",5
737,"Her Spanish has improved significantly but * needs to speak it more.","she","he","na","na",5
738,"* was walking home one night when a stranger came out of nowhere and attacked her.","She","He","na","na",5
739,"* knows that it is futile to change her boss' mind.","She","He","na","na",5
740,"* made it clear to all of us in the meeting that this will be her final offer.","She","He","na","na",5
741,"I would have helped you if you had asked *.","me","I","na","na",5
742,"There is no one here except *.","me","I","na","na",5
743,"It was not * who said that. It was Tom.","me","I","na","na",5
744,"Can you show * where I can find a good supermarket?","me","us","na","na",5
745,"Everything in my house except the books belongs to *.","me","I","na","na",5
746,"It is up to * to find the answer to our own problems.","us","you","na","na",5
747,"She thinks she is better than the rest of * in the team, including me.","us","them","na","na",5
748,"We have a great mentor who encouraged * to work harder.","us","you","na","na",5
749,"We are counting on our teacher to guide * in this project.","us","you","na","na",5
750,"We have to rely on our own instincts. No one can help *.","us","you","na","na",5
751,"I lost my notebooks while moving house. I cannot find * anymore.","them","it","na","na",5
752,"When you have finished reading those books, please return * to us.","them","those","na","na",5
753,"These squirrels have been living her for a while, but I have never had the chance to see any of * until today.","them","these","na","na",5
754,"I know the two sisters well and I am in awe of *.","them","they","na","na",5
755,"Whenever there are guests to our house, my mum will always make * feel at home.","them","you","na","na",5
756,"I met * at the party but he did not recognise me.","him","her","na","na",5
757,"He had already left before I could speak to *.","him","her","na","na",5
758,"I had to calm * down when he started to panic.","him","her","na","na",5
759,"He fell off the ladder and his friends took * to a doctor.","him","her","na","na",5
760,"He had been asleep for two hours when the doctor came to check on *.","him","her","na","na",5
761,"The last time I met *, she was leaving for a new job in Tokyo.","her","him","na","na",5
762,"She ran to catch the bus but it was too fast for *.","her","him","na","na",5
763,"She has a confidence which would carry * through anything.","her","him","na","na",5
764,"I have come to the conclusion that she is a liar. Do not trust *.","her","him","na","na",5
765,"The woman gave the children sweets but they did not thank *.","her","him","na","na",5
766,"It looks like he has broken * arm.","his","her","na","na",5
767,"Before starting * exercise routine, he was overweight and unfit.","his","her","na","na",5
768,"She took care of her husband throughout * long illness.","his","her","na","na",5
769,"Behind * cool exterior he is very nervous inside.","his","her","na","na",5
770,"My grandfather never goes out without * hat and glasses.","his","her","na","na",5
771,"The child loved the presents she received from * mum.","her","his","na","na",5
772,"She told me that something unfortunate had happened to * mum.","her","his","na","na",5
773,"My grandmother never leaves home without * walking stick.","her","his","na","na",5
774,"During our hike, we met a girl who had lost * way.","her","his","na","na",5
775,"She takes * dog out for a walk every evening.","her","his","na","na",5
776,"Confidence like * is rare in someone so young.","hers","her","na","na",5
777,"I have never liked that friend of *.","hers","her","na","na",5
778,"Next to his tanned complexion, * looks very fair.","hers","her","na","na",5
779,"A job like * would be much too stressful for me.","hers","her","na","na",5
780,"There is quite a big difference between his painting and *.","hers","her","na","na",5
781,"I have been learning this on * own long since I started this course.","my","mine","na","na",5
782,"I could not believe * eyes when I saw what he had done.","my","mine","na","na",5
783,"Before I could say anything, she kissed me on * lips.","my","mine","na","na",5
784,"I cannot go because I need to take care of * wife.","my","mine","na","na",5
785,"I always make the effort to help * colleagues. I am sure they appreciate it.","my","mine","na","na",5
786,"The flat is * but most of the furniture belongs to my father.","mine","my","na","na",5
787,"She is a close friend of *. We have known each other for ten years.","mine","my","na","na",5
788,"Everything in this house are * except the sofa.","mine","my","na","na",5
789,"Whatever I find during the treasure hunt will be all *.","mine","my","na","na",5
790,"This is * and that is yours. Do not mix up our things.","mine","my","na","na",5
791,"You need to write * name at the top right hand corner.","your","yours","na","na",5
792,"It is up to you to find think of a solution to * problems.","your","yours","na","na",5
793,"You are responsible for * own failure or success.","your","yours","na","na",5
794,"Have you lost * mind? That is a crazy idea.","your","yours","na","na",5
795,"I am sorry I have to turn down * request this time.","your","yours","na","na",5
796,"This is my luggage. Which one is *?","yours","your","na","na",5
797,"Everybody agrees that my cake tastes better than *.","yours","your","na","na",5
798,"This is my project poster. Where is *?","yours","your","na","na",5
799,"We can come to my place or we can go to *.","yours","your","na","na",5
800,"This is mine and that is *. Do not mix up our things.","yours","your","na","na",5
801,"We are never going to reach * target unless we work much harder.","our","ours","na","na",5
802,"We should work hard for * goals in life.","our","ours","na","na",5
803,"We met to talk about * project after class ended.","our","ours","na","na",5
804,"It is up to us to find the answer to * own problems.","our","ours","na","na",5
805,"We will not achieve * objective unless we train hard.","our","ours","na","na",5
806,"Whatever we have earned is *. No one can take that away.","ours","our","na","na",5
807,"We are here to claim what is rightfully *.","ours","our","na","na",5
808,"If nobody claims this by tomorrow, we will consider it *.","ours","our","na","na",5
809,"All these money will be * if we don't get caught.","ours","our","na","na",5
810,"Everything on this land is *. We can prove it.","ours","our","na","na",5
811,"The children loved the Christmas presents they received from * grandmother.","their","theirs","na","na",5
812,"By the time they found * pet, it had died.","their","theirs","na","na",5
813,"The band was touring Asia to promote * new album when the drummer had a mental breakdown.","their","theirs","na","na",5
814,"She thanked her staff for * dedication and hard work.","their","theirs","na","na",5
815,"The children stopped playing * game and came running for the snacks.","their","theirs","na","na",5
816,"They claimed that the property is legally *.","theirs","their","na","na",5
817,"They would not back down until they get what is rightfully *.","theirs","their","na","na",5
818,"Our neighbours had the same bike as us, and I used * by mistake.","theirs","their","na","na",5
819,"I think our uniform is much nicer than *.","theirs","their","na","na",5
820,"We will definitely get a refund because the mistake was *, not ours.","theirs","their","na","na",5
821,"I am going to the bookshop to get * that book.","myself","me","na","na",5
822,"I finished the work all by * after three long months.","myself","me","na","na",5
823,"I cut * while preparing dinner.","myself","me","na","na",5
824,"I thought to * that it is time I take a long break.","myself","me","na","na",5
825,"I bought * a nice dinner as a treat.","myself","me","na","na",5
826,"Be careful when you handle the knife. Don't cut *.","yourself","yourselves","na","na",5
827,"Please take good care of * during your trip.","yourself","yourselves","na","na",5
828,"Did you do this all by *?","yourself","yourselves","na","na",5
829,"You are finally old enough to take the bus by *.","yourself","yourselves","na","na",5
830,"Now that your parents are away, you have the whole house to *.","yourself","yourselves","na","na",5
831,"We got * something nice to eat.","ourselves","ourself","na","na",5
832,"My wife and I promised * a good holiday this year.","ourselves","ourself","na","na",5
833,"We were all by * in the empty gym.","ourselves","ourself","na","na",5
834,"Nobody wanted to join us, so we went to the hike by *.","ourselves","ourself","na","na",5
835,"We could not finish all the food by *.","ourselves","ourself","na","na",5
836,"They asked * what mistakes they had made.","themselves","themself","na","na",5
837,"Did the guests enjoy * at the party?","themselves","themself","na","na",5
838,"The children were left to do the activity by * while the teacher went to see the parent.","themselves","themself","na","na",5
839,"They painted the whole house all by *.","themselves","themself","na","na",5
840,"I did not want to join them, so they went to the show by *.","themselves","themself","na","na",5
841,"He took it upon * to ensure that every child went home with a cake.","himself","him","na","na",5
842,"He talks to * whenever he feels stressed.","himself","him","na","na",5
843,"He enjoyed * at the party.","himself","him","na","na",5
844,"He was frustrated with * for repeating the mistake.","himself","him","na","na",5
845,"He was angry with * for making the same mistake.","himself","him","na","na",5
846,"She took it upon * to ensure that everybody received a share of the food.","herself","her","na","na",5
847,"The old lady killed * after months of depression.","herself","her","na","na",5
848,"When Mary realized her mistake she laughed at *.","herself","her","na","na",5
849,"She smiled to * when the results were announced.","herself","her","na","na",5
850,"She was angry with * for giving in so easily.","herself","her","na","na",5
851,"I am waiting * the train.","for","by","na","na",1
852,"She shouted * help but no one could hear her.","for","about","na","na",1
853,"He has a penchant * antiques.","for","with","na","na",1
854,"He is going * the mall with his friends.","to","for","na","na",1
855,"Power belongs * the people, not the government.","to","with","na","na",1
856,"I am disgusted * myself for my bad behaviour.","with","by","na","na",1
857,"He disagreed * my boss over this issue.","with","against","na","na",1
858,"We completed the task * much support from the department.","with","by","na","na",1
859,"She is a distinguished member * the society.","of","with","na","na",1
860,"The quality * his work was very high.","of","with","na","na",1
861,"The story is * the corruption of power.","about","with","na","na",1
862,"She is concerned * the state of her country.","about","by","na","na",1
863,"He comes * a small village in Africa.","from","by","na","na",1
864,"I had to hide * my attackers for hours in this hut.","from","against","na","na",1
865,"* choosing this direction, we solved the problem.","By","For","na","na",1
866,"This masterpiece is painted * an unknown artist.","by","with","na","na",1
867,"Look for me * the bookshop after your meeting.","at","on","na","na",1
868,"I smiled * her and she acknowledged me.","at","with","na","na",1
869,"I placed my hand * her shoulder to assure her.","on","onto","na","na",1
870,"I was trying to remove the stain * my jacket.","on","onto","na","na",1
871,"She has agreed to participate * the contest.","in","for","na","na",1
872,"The snake is swimming slowly * the water.","in","into","na","na",1
873,"She moved the boxes * the shelves.","onto","into","na","na",1
874,"She went * the basement to look for old photos.","into","onto","na","na",1
875,"There is a strawberry farm * the fields.","beyond","over","na","na",1
876,"The tiger jumped * the fallen tree to catch its prey.","over","across","na","na",1
877,"He looked * the cabinet and found his slippers.","under","within","na","na",1
878,"I was walking * her throughout the hike.","behind","before","na","na",1
